Sample,CT22,CT23,CT24,CT48,CT5,CTH26,CTH28,CTH46,CTH47,CTH49
Label,Control,Control,Control,Control,Control,H1N1,H1N1,H1N1,H1N1,H1N1
100.1117248_207.657,726258947.9,69547571.2,63731188.6,819689238,5432466.7,61741525.9,7821482,75815649.8,793751,852932628.6
100.1117449_124.5565,1212437,1439519994,12159989,1823133239,1946395463,1518872987,141966875,198856919,2137989657,189752539
100.1304258_124.553,4157557.474,5297595.543,594782.2,725764.593,796393.559,642151.83,4768611.966,7556115.46,8372351.667,72145.698
100.1304616_207.624,284556.33,3379731.3,2391459.5,35769.74,384241874.4,187391485,2164692.55,36465987.5,2878742.424,37435861.2
100.5096875_118.473,974397.146,11874527.35,1372966.8,9477342.66,191787.63,143766.96,1148456.76,94119.123,11771711.62,6188143.79
100.5096887_307.354,54999222.24,5172639.6,37222489.39,414823.28,3584559.51,2815139.76,56463654.11,42562311.74,3467531.77,39771851.51
100.5096874_47.1003,42698.244,386197.313,8696243.649,3852246.58,4737895.19,1561512.63,25388.952,811319.171,9861672.812,8248325.743
100.5096836_25.87745,332761.331,354416.687,5177.48,716576.263,935498.99,4242125.669,2927.742,929558.727,89974.949,628473.9
100.5096871_2.1642,1771448.128,1792862.242,257598.528,436386.64,6562247.721,2913662.649,1843116.745,4793833.328,149973.33,554127.181
100.9565981_307.983,2791851.216,2872686.677,177129.998,2862864.137,287384.945,11769.262,3165622.227,2216392.269,143166.143,2876933.325
100.9881515_161.996,293616.734,1161785.587,63738878.71,346377.264,73466.1619,13172.88,91183.79286,395311.266,164415.647,35784.4752
101.0112902_308.446,242186.159,152612.67,212528.57,186485.293,281532.75,122728.65,2561298.164,181285.323,242473.623,2877181.159
101.0594354_130.401,422921.25,2683253.676,1966192.521,2371552.982,39456.984,4987.3,5153273.69,179466.276,17124.381,3221867.634
101.0594311_44.7414,217717.851,62292.749,539761.383,353987.233,4778957.989,127.277,2614223.414,9599191.193,9234931.784,345425.659
